"품목별(1)","품목별(2)","품목별(3)",시점,항목,데이터
"식품 및 산동물","곡식 및 곡식가공품","곡물,제분하지 않은 것(밀,쌀,보리 및 옥수수 제외)",2021. 11,수출액 (천달러),81
"식품 및 산동물","곡식 및 곡식가공품","곡물,제분하지 않은 것(밀,쌀,보리 및 옥수수 제외)",2021. 11,수입액 (천달러),1973
"식품 및 산동물","곡식 및 곡식가공품","밀의 거친가루 및 고운가루와 메슬린의 고운가루",2021. 11,수출액 (천달러),2687
"식품 및 산동물","곡식 및 곡식가공품","밀의 거친가루 및 고운가루와 메슬린의 고운가루",2021. 11,수입액 (천달러),1029
"식품 및 산동물","곡식 및 곡식가공품","기타 곡물 거친가루 및 고운가루",2021. 11,수출액 (천달러),198
"식품 및 산동물","곡식 및 곡식가공품","기타 곡물 거친가루 및 고운가루",2021. 11,수입액 (천달러),940
"식품 및 산동물","곡식 및 곡식가공품","곡식가공품 및 곡분",2021. 11,수출액 (천달러),59052
"식품 및 산동물","곡식 및 곡식가공품","곡식가공품 및 곡분",2021. 11,수입액 (천달러),69420
"식품 및 산동물","채소 및 과실","소계",2021. 11,수출액 (천달러),95326
"식품 및 산동물","채소 및 과실","소계",2021. 11,수입액 (천달러),338669
"식품 및 산동물","채소 및 과실","채소,신선,냉장,냉동 또는 단순히 저장한 것",2021. 11,수출액 (천달러),14485
"식품 및 산동물","채소 및 과실","채소,신선,냉장,냉동 또는 단순히 저장한 것",2021. 11,수입액 (천달러),67158
"식품 및 산동물","채소 및 과실","달리 명시되지 않은 조제 및 저장한 채소,구근 및 괴경",2021. 11,수출액 (천달러),15642
"식품 및 산동물","채소 및 과실","달리 명시되지 않은 조제 및 저장한 채소,구근 및 괴경",2021. 11,수입액 (천달러),75303
"식품 및 산동물","채소 및 과실","과실 및 견과(기름용 견과 제외),신선 또는 건조한 것",2021. 11,수출액 (천달러),34941
"식품 및 산동물","채소 및 과실","과실 및 견과(기름용 견과 제외),신선 또는 건조한 것",2021. 11,수입액 (천달러),118565
"식품 및 산동물","채소 및 과실","저장과실과 과실조제품(과실쥬스는 제외)",2021. 11,수출액 (천달러),24797
"식품 및 산동물","채소 및 과실","저장과실과 과실조제품(과실쥬스는 제외)",2021. 11,수입액 (천달러),60626
"식품 및 산동물","채소 및 과실","과일쥬스(포도즙 포함)와 채소 쥬스",2021. 11,수출액 (천달러),5461
"식품 및 산동물","채소 및 과실","과일쥬스(포도즙 포함)와 채소 쥬스",2021. 11,수입액 (천달러),17017
"식품 및 산동물","설탕,설탕조제품 및 벌꿀","소계",2021. 11,수출액 (천달러),32387
"식품 및 산동물","설탕,설탕조제품 및 벌꿀","소계",2021. 11,수입액 (천달러),137666
"식품 및 산동물","설탕,설탕조제품 및 벌꿀","설탕,당밀과 벌꿀",2021. 11,수출액 (천달러),23045
"식품 및 산동물","설탕,설탕조제품 및 벌꿀","설탕,당밀과 벌꿀",2021. 11,수입액 (천달러),117746
"식품 및 산동물","설탕,설탕조제품 및 벌꿀","설탕과자",2021. 11,수출액 (천달러),9342
