"품목별(1)","품목별(2)","품목별(3)",시점,항목,데이터
"동식물성유지 및 왁스","달리 분류되지 않은 동식물성유지,처리한 것","달리 분류되지 않은 동식물성유지,처리한 것,왁스",2021. 11,수출액 (천달러),2388
"동식물성유지 및 왁스","달리 분류되지 않은 동식물성유지,처리한 것","달리 분류되지 않은 동식물성유지,처리한 것,왁스",2021. 11,수입액 (천달러),15701
"화학물 및 관련제품","소계","소계",2021. 11,수출액 (천달러),8855418
"화학물 및 관련제품","소계","소계",2021. 11,수입액 (천달러),5898254
"화학물 및 관련제품","유기화학물","소계",2021. 11,수출액 (천달러),2133115
"화학물 및 관련제품","유기화학물","소계",2021. 11,수입액 (천달러),1492070
"화학물 및 관련제품","유기화학물","달리 명시되지 않은 탄화수소 및 그 유도체",2021. 11,수출액 (천달러),1202888
"화학물 및 관련제품","유기화학물","달리 명시되지 않은 탄화수소 및 그 유도체",2021. 11,수입액 (천달러),221427
"화학물 및 관련제품","유기화학물","알콜,페놀-알콜 및 그들의 할로겐화",2021. 11,수출액 (천달러),175933
"화학물 및 관련제품","유기화학물","알콜,페놀-알콜 및 그들의 할로겐화",2021. 11,수입액 (천달러),353843
"화학물 및 관련제품","유기화학물","카르복시산과 그들의 무수물.할로겐화물.과산화물과 과산화산",2021. 11,수출액 (천달러),332468
"화학물 및 관련제품","유기화학물","카르복시산과 그들의 무수물.할로겐화물.과산화물과 과산화산",2021. 11,수입액 (천달러),167018
"화학물 및 관련제품","유기화학물","질소관능화합물",2021. 11,수출액 (천달러),196449
"화학물 및 관련제품","유기화학물","질소관능화합물",2021. 11,수입액 (천달러),269430
"화학물 및 관련제품","유기화학물","유기-무기화합물,헤테르고리화합물,헥산",2021. 11,수출액 (천달러),125195
"화학물 및 관련제품","유기화학물","유기-무기화합물,헤테르고리화합물,헥산",2021. 11,수입액 (천달러),327233
"화학물 및 관련제품","유기화학물","기타 유기화합물",2021. 11,수출액 (천달러),100183
"화학물 및 관련제품","유기화학물","기타 유기화합물",2021. 11,수입액 (천달러),153119
"화학물 및 관련제품","무기화학물","소계",2021. 11,수출액 (천달러),673605
"화학물 및 관련제품","무기화학물","소계",2021. 11,수입액 (천달러),1112111
"화학물 및 관련제품","무기화학물","무기화학원소,산화물 및 할로겐염",2021. 11,수출액 (천달러),181301
"화학물 및 관련제품","무기화학물","무기화학원소,산화물 및 할로겐염",2021. 11,수입액 (천달러),629689
"화학물 및 관련제품","무기화학물","무기산의 금속염 및 과산화염",2021. 11,수출액 (천달러),84426
"화학물 및 관련제품","무기화학물","무기산의 금속염 및 과산화염",2021. 11,수입액 (천달러),145861
"화학물 및 관련제품","무기화학물","기타 무기화학물",2021. 11,수출액 (천달러),404390
"화학물 및 관련제품","무기화학물","기타 무기화학물",2021. 11,수입액 (천달러),162523
"화학물 및 관련제품","무기화학물","방사선 및 관련물질",2021. 11,수출액 (천달러),3489
"화학물 및 관련제품","무기화학물","방사선 및 관련물질",2021. 11,수입액 (천달러),174037
"화학물 및 관련제품","염료,유연제 및 착색제","소계",2021. 11,수출액 (천달러),285758
"화학물 및 관련제품","염료,유연제 및 착색제","소계",2021. 11,수입액 (천달러),264933
"화학물 및 관련제품","염료,유연제 및 착색제","합성유기착색제와 그 조제품",2021. 11,수출액 (천달러),75685
"화학물 및 관련제품","염료,유연제 및 착색제","합성유기착색제와 그 조제품",2021. 11,수입액 (천달러),106859
"화학물 및 관련제품","염료,유연제 및 착색제","염료,유연제엑스 및 합성유연제",2021. 11,수출액 (천달러),1995
"화학물 및 관련제품","염료,유연제 및 착색제","염료,유연제엑스 및 합성유연제",2021. 11,수입액 (천달러),7218
"화학물 및 관련제품","염료,유연제 및 착색제","안료,페인트 니스 및 관련물질",2021. 11,수출액 (천달러),208078
"화학물 및 관련제품","염료,유연제 및 착색제","안료,페인트 니스 및 관련물질",2021. 11,수입액 (천달러),150856
"화학물 및 관련제품","의약품 및 약제제품","소계",2021. 11,수출액 (천달러),721222
"화학물 및 관련제품","의약품 및 약제제품","소계",2021. 11,수입액 (천달러),944015
"화학물 및 관련제품","의약품 및 약제제품","의약품 및 약제제품(542항 의약품 제외)",2021. 11,수출액 (천달러),646270
"화학물 및 관련제품","의약품 및 약제제품","의약품 및 약제제품(542항 의약품 제외)",2021. 11,수입액 (천달러),520657
"화학물 및 관련제품","의약품 및 약제제품","의약품(수의약품 포함)",2021. 11,수출액 (천달러),74952
"화학물 및 관련제품","의약품 및 약제제품","의약품(수의약품 포함)",2021. 11,수입액 (천달러),423357
"화학물 및 관련제품","정유 및 향료","소계",2021. 11,수출액 (천달러),970629
"화학물 및 관련제품","정유 및 향료","소계",2021. 11,수입액 (천달러),238747
"화학물 및 관련제품","정유 및 향료","정유 및 향료",2021. 11,수출액 (천달러),3383
"화학물 및 관련제품","정유 및 향료","정유 및 향료",2021. 11,수입액 (천달러),27065
"화학물 및 관련제품","정유 및 향료","향수 및 화장품,화장용품(비누제외)",2021. 11,수출액 (천달러),863901
"화학물 및 관련제품","정유 및 향료","향수 및 화장품,화장용품(비누제외)",2021. 11,수입액 (천달러),137745
"화학물 및 관련제품","정유 및 향료","비누,세척 및 광택제",2021. 11,수출액 (천달러),103345
"화학물 및 관련제품","정유 및 향료","비누,세척 및 광택제",2021. 11,수입액 (천달러),73937
"화학물 및 관련제품","비료","소계",2021. 11,수출액 (천달러),34215
"화학물 및 관련제품","비료","소계",2021. 11,수입액 (천달러),65462
"화학물 및 관련제품","비료","비료(272항의 것 제외)",2021. 11,수출액 (천달러),34215
"화학물 및 관련제품","비료","비료(272항의 것 제외)",2021. 11,수입액 (천달러),65462
"화학물 및 관련제품","플라스틱(원료형태의 것)","소계",2021. 11,수출액 (천달러),2587798
"화학물 및 관련제품","플라스틱(원료형태의 것)","소계",2021. 11,수입액 (천달러),546396
"화학물 및 관련제품","플라스틱(원료형태의 것)","에틸렌의 중합체(일차제품의 것)",2021. 11,수출액 (천달러),611515
"화학물 및 관련제품","플라스틱(원료형태의 것)","에틸렌의 중합체(일차제품의 것)",2021. 11,수입액 (천달러),46217
"화학물 및 관련제품","플라스틱(원료형태의 것)","스티렌의 중합체(일차제품의 것)",2021. 11,수출액 (천달러),320086
"화학물 및 관련제품","플라스틱(원료형태의 것)","스티렌의 중합체(일차제품의 것)",2021. 11,수입액 (천달러),16955
"화학물 및 관련제품","플라스틱(원료형태의 것)","염화비닐의 중합체 또는 할로겐화올레 핀의 중합체(1차제품의 것)",2021. 11,수출액 (천달러),73342
"화학물 및 관련제품","플라스틱(원료형태의 것)","염화비닐의 중합체 또는 할로겐화올레 핀의 중합체(1차제품의 것)",2021. 11,수입액 (천달러),44155
"화학물 및 관련제품","플라스틱(원료형태의 것)","아세탈수지.기타 폴리에테르와 에폭시 수지",2021. 11,수출액 (천달러),638787
"화학물 및 관련제품","플라스틱(원료형태의 것)","아세탈수지.기타 폴리에테르와 에폭시 수지",2021. 11,수입액 (천달러),126070
"화학물 및 관련제품","플라스틱(원료형태의 것)","기타 프라스틱(일차제품의 것)",2021. 11,수출액 (천달러),942442
"화학물 및 관련제품","플라스틱(원료형태의 것)","기타 프라스틱(일차제품의 것)",2021. 11,수입액 (천달러),310312
"화학물 및 관련제품","플라스틱(원료형태의 것)","플라스틱의 웨이스트.페어링과 스크램",2021. 11,수출액 (천달러),1627
"화학물 및 관련제품","플라스틱(원료형태의 것)","플라스틱의 웨이스트.페어링과 스크램",2021. 11,수입액 (천달러),2685
"화학물 및 관련제품","원료형태가 아닌 플라스틱","소계",2021. 11,수출액 (천달러),684149
"화학물 및 관련제품","원료형태가 아닌 플라스틱","소계",2021. 11,수입액 (천달러),389582
"화학물 및 관련제품","원료형태가 아닌 플라스틱","플라스틱의 관.파이프 및 호오스",2021. 11,수출액 (천달러),32740
"화학물 및 관련제품","원료형태가 아닌 플라스틱","플라스틱의 관.파이프 및 호오스",2021. 11,수입액 (천달러),27931
"화학물 및 관련제품","원료형태가 아닌 플라스틱","플라스틱제의 판,쉬이트,필름,박 및 스트¿",2021. 11,수출액 (천달러),646210
"화학물 및 관련제품","원료형태가 아닌 플라스틱","플라스틱제의 판,쉬이트,필름,박 및 스트¿",2021. 11,수입액 (천달러),355613
"화학물 및 관련제품","원료형태가 아닌 플라스틱","플라스틱의 모노필라멘트",2021. 11,수출액 (천달러),5199
"화학물 및 관련제품","원료형태가 아닌 플라스틱","플라스틱의 모노필라멘트",2021. 11,수입액 (천달러),6038
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","소계",2021. 11,수출액 (천달러),764926
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","소계",2021. 11,수입액 (천달러),844939
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","살충제.살서제(쥐약).살균제",2021. 11,수출액 (천달러),64701
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","살충제.살서제(쥐약).살균제",2021. 11,수입액 (천달러),27042
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","전분,이눌린 및 글루우텐,단백질,물질 아교",2021. 11,수출액 (천달러),79900
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","전분,이눌린 및 글루우텐,단백질,물질 아교",2021. 11,수입액 (천달러),94376
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","화약 및 불꽃제품",2021. 11,수출액 (천달러),7385
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","화약 및 불꽃제품",2021. 11,수입액 (천달러),2488
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","광물유첨가제 및 유사품",2021. 11,수출액 (천달러),24686
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","광물유첨가제 및 유사품",2021. 11,수입액 (천달러),62912
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","달리 명시되지 않은 화학잡제품",2021. 11,수출액 (천달러),588253
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","달리 명시되지 않은 화학잡제품",2021. 11,수입액 (천달러),651670
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","달리 명시되지 않은 화학물질의 폐기물, 도시쓰레기, 오수침전물 및 기타 쓰레기",2021. 11,수출액 (천달러),0
"화학물 및 관련제품","달리 명시되지 않은 화학물질 및 제품","달리 명시되지 않은 화학물질의 폐기물, 도시쓰레기, 오수침전물 및 기타 쓰레기",2021. 11,수입액 (천달러),6451
"재료별 제조제품","소계","소계",2021. 11,수출액 (천달러),7120725
"재료별 제조제품","소계","소계",2021. 11,수입액 (천달러),5464476
"재료별 제조제품","가죽제품 및 손질모피","소계",2021. 11,수출액 (천달러),35514
"재료별 제조제품","가죽제품 및 손질모피","소계",2021. 11,수입액 (천달러),37623
"재료별 제조제품","가죽제품 및 손질모피","가 죽",2021. 11,수출액 (천달러),31583
"재료별 제조제품","가죽제품 및 손질모피","가 죽",2021. 11,수입액 (천달러),21988
"재료별 제조제품","가죽제품 및 손질모피","달리 명시되지 않은 가죽제품",2021. 11,수출액 (천달러),3720
"재료별 제조제품","가죽제품 및 손질모피","달리 명시되지 않은 가죽제품",2021. 11,수입액 (천달러),13290
"재료별 제조제품","가죽제품 및 손질모피","모피(유연처리 또는 완성가공한 것)",2021. 11,수출액 (천달러),211
"재료별 제조제품","가죽제품 및 손질모피","모피(유연처리 또는 완성가공한 것)",2021. 11,수입액 (천달러),2345
"재료별 제조제품","달리 명시되지 않은 고무제품","소계",2021. 11,수출액 (천달러),326267
"재료별 제조제품","달리 명시되지 않은 고무제품","소계",2021. 11,수입액 (천달러),154083
"재료별 제조제품","달리 명시되지 않은 고무제품","고 무",2021. 11,수출액 (천달러),36556
"재료별 제조제품","달리 명시되지 않은 고무제품","고 무",2021. 11,수입액 (천달러),20420
"재료별 제조제품","달리 명시되지 않은 고무제품","고무타이어,호환성타이어 트레드,타이어풀랩 및 인너튜브",2021. 11,수출액 (천달러),243059
"재료별 제조제품","달리 명시되지 않은 고무제품","고무타이어,호환성타이어 트레드,타이어풀랩 및 인너튜브",2021. 11,수입액 (천달러),88644
"재료별 제조제품","달리 명시되지 않은 고무제품","달리 명시되지 않은 고무제품",2021. 11,수출액 (천달러),46653
"재료별 제조제품","달리 명시되지 않은 고무제품","달리 명시되지 않은 고무제품",2021. 11,수입액 (천달러),45020
"재료별 제조제품","코크 및 나무제품","소계",2021. 11,수출액 (천달러),5341
"재료별 제조제품","코크 및 나무제품","소계",2021. 11,수입액 (천달러),120214
"재료별 제조제품","코크 및 나무제품","코르크제품",2021. 11,수출액 (천달러),11
"재료별 제조제품","코크 및 나무제품","코르크제품",2021. 11,수입액 (천달러),206
"재료별 제조제품","코크 및 나무제품","단판,합판,파티클보드 및 달리 명시되지 않은 기타 가공목재",2021. 11,수출액 (천달러),1852
"재료별 제조제품","코크 및 나무제품","단판,합판,파티클보드 및 달리 명시되지 않은 기타 가공목재",2021. 11,수입액 (천달러),89890
"재료별 제조제품","코크 및 나무제품","달리 명시되지 않은 나무제품",2021. 11,수출액 (천달러),3479
"재료별 제조제품","코크 및 나무제품","달리 명시되지 않은 나무제품",2021. 11,수입액 (천달러),30118
"재료별 제조제품","종이,판지 및 펄프","소계",2021. 11,수출액 (천달러),242779
"재료별 제조제품","종이,판지 및 펄프","소계",2021. 11,수입액 (천달러),198144
"재료별 제조제품","종이,판지 및 펄프","종이 및 판지",2021. 11,수출액 (천달러),199656
"재료별 제조제품","종이,판지 및 펄프","종이 및 판지",2021. 11,수입액 (천달러),120329
"재료별 제조제품","종이,판지 및 펄프","종이 및 판지 크기로 재단한 것 및 종이 또는 판지의 제품",2021. 11,수출액 (천달러),43123
"재료별 제조제품","종이,판지 및 펄프","종이 및 판지 크기로 재단한 것 및 종이 또는 판지의 제품",2021. 11,수입액 (천달러),77816
"재료별 제조제품","섬유사,직물,직물제품","소계",2021. 11,수출액 (천달러),793428
"재료별 제조제품","섬유사,직물,직물제품","소계",2021. 11,수입액 (천달러),580039
"재료별 제조제품","섬유사,직물,직물제품","섬유사",2021. 11,수출액 (천달러),130733
"재료별 제조제품","섬유사,직물,직물제품","섬유사",2021. 11,수입액 (천달러),196433
"재료별 제조제품","섬유사,직물,직물제품","면직물(세폭직물 또는 특수직물 제외)",2021. 11,수출액 (천달러),29086
"재료별 제조제품","섬유사,직물,직물제품","면직물(세폭직물 또는 특수직물 제외)",2021. 11,수입액 (천달러),33925
"재료별 제조제품","섬유사,직물,직물제품","인조섬유직물",2021. 11,수출액 (천달러),161016
"재료별 제조제품","섬유사,직물,직물제품","인조섬유직물",2021. 11,수입액 (천달러),42997
"재료별 제조제품","섬유사,직물,직물제품","기타 섬유직물",2021. 11,수출액 (천달러),10175
"재료별 제조제품","섬유사,직물,직물제품","기타 섬유직물",2021. 11,수입액 (천달러),26809
"재료별 제조제품","섬유사,직물,직물제품","달리 명시되지 않은 편직 또는 뜨게질 직물",2021. 11,수출액 (천달러),233344
"재료별 제조제품","섬유사,직물,직물제품","달리 명시되지 않은 편직 또는 뜨게질 직물",2021. 11,수입액 (천달러),18507
"재료별 제조제품","섬유사,직물,직물제품","튤,레이스,자수울,리본,트리밍 및 기타 소비품",2021. 11,수출액 (천달러),17269
"재료별 제조제품","섬유사,직물,직물제품","튤,레이스,자수울,리본,트리밍 및 기타 소비품",2021. 11,수입액 (천달러),6765
"재료별 제조제품","섬유사,직물,직물제품","특수사,직물 및 관련제품",2021. 11,수출액 (천달러),184528
"재료별 제조제품","섬유사,직물,직물제품","특수사,직물 및 관련제품",2021. 11,수입액 (천달러),120018
"재료별 제조제품","섬유사,직물,직물제품","달리 명시되지 않은 주로 섬유물질의 구성 제품",2021. 11,수출액 (천달러),24758
"재료별 제조제품","섬유사,직물,직물제품","달리 명시되지 않은 주로 섬유물질의 구성 제품",2021. 11,수입액 (천달러),121625
"재료별 제조제품","섬유사,직물,직물제품","마루덮개 등",2021. 11,수출액 (천달러),2518
"재료별 제조제품","섬유사,직물,직물제품","마루덮개 등",2021. 11,수입액 (천달러),12960
"재료별 제조제품","달리 명시되지 않은 비금속광물","소계",2021. 11,수출액 (천달러),330508
"재료별 제조제품","달리 명시되지 않은 비금속광물","소계",2021. 11,수입액 (천달러),537166
"재료별 제조제품","달리 명시되지 않은 비금속광물","석회.시멘트 및 조립건축자재",2021. 11,수출액 (천달러),20579
"재료별 제조제품","달리 명시되지 않은 비금속광물","석회.시멘트 및 조립건축자재",2021. 11,수입액 (천달러),79157
"재료별 제조제품","달리 명시되지 않은 비금속광물","점토건설용 및 내화건설용 제품",2021. 11,수출액 (천달러),8460
"재료별 제조제품","달리 명시되지 않은 비금속광물","점토건설용 및 내화건설용 제품",2021. 11,수입액 (천달러),75560
"재료별 제조제품","달리 명시되지 않은 비금속광물","달리 명시되지 않은 광물제품",2021. 11,수출액 (천달러),124846
"재료별 제조제품","달리 명시되지 않은 비금속광물","달리 명시되지 않은 광물제품",2021. 11,수입액 (천달러),125296
"재료별 제조제품","달리 명시되지 않은 비금속광물","유리",2021. 11,수출액 (천달러),141640
"재료별 제조제품","달리 명시되지 않은 비금속광물","유리",2021. 11,수입액 (천달러),169029
"재료별 제조제품","달리 명시되지 않은 비금속광물","유리제",2021. 11,수출액 (천달러),31214
"재료별 제조제품","달리 명시되지 않은 비금속광물","유리제",2021. 11,수입액 (천달러),57387
"재료별 제조제품","달리 명시되지 않은 비금속광물","도자기",2021. 11,수출액 (천달러),1449
"재료별 제조제품","달리 명시되지 않은 비금속광물","도자기",2021. 11,수입액 (천달러),19134
"재료별 제조제품","달리 명시되지 않은 비금속광물","진주(귀석 또는 반귀석,가공하지 아니한 것 또는 가공한 것)",2021. 11,수출액 (천달러),2319
"재료별 제조제품","달리 명시되지 않은 비금속광물","진주(귀석 또는 반귀석,가공하지 아니한 것 또는 가공한 것)",2021. 11,수입액 (천달러),11602
"재료별 제조제품","철 및 강","소계",2021. 11,수출액 (천달러),2918427
"재료별 제조제품","철 및 강","소계",2021. 11,수입액 (천달러),1477137
"재료별 제조제품","철 및 강","선철,경철,해면철,철 또는 강의 입상",2021. 11,수출액 (천달러),128055
"재료별 제조제품","철 및 강","선철,경철,해면철,철 또는 강의 입상",2021. 11,수입액 (천달러),258673
"재료별 제조제품","철 및 강","철 또는 강의 철강괴 및 기타 일차 형태의 것 및 반제품",2021. 11,수출액 (천달러),30688
"재료별 제조제품","철 및 강","철 또는 강의 철강괴 및 기타 일차 형태의 것 및 반제품",2021. 11,수입액 (천달러),112722
"재료별 제조제품","철 및 강","철 또는 비합금강의 평판압연제품",2021. 11,수출액 (천달러),876109
"재료별 제조제품","철 및 강","철 또는 비합금강의 평판압연제품",2021. 11,수입액 (천달러),395911
"재료별 제조제품","철 및 강","철 또는 비합금강의 평판압연제품(클래드,도금 또는 도포한 것)",2021. 11,수출액 (천달러),725044
"재료별 제조제품","철 및 강","철 또는 비합금강의 평판압연제품(클래드,도금 또는 도포한 것)",2021. 11,수입액 (천달러),134584
"재료별 제조제품","철 및 강","합금철의 평판압연제품",2021. 11,수출액 (천달러),450804
"재료별 제조제품","철 및 강","합금철의 평판압연제품",2021. 11,수입액 (천달러),109380
"재료별 제조제품","철 및 강","철강봉,앵글,형강(쉬이트파일링포함)",2021. 11,수출액 (천달러),231955
"재료별 제조제품","철 및 강","철강봉,앵글,형강(쉬이트파일링포함)",2021. 11,수입액 (천달러),305825
"재료별 제조제품","철 및 강","철강의 철도궤조 및 철도궤조 건설자재",2021. 11,수출액 (천달러),468
"재료별 제조제품","철 및 강","철강의 철도궤조 및 철도궤조 건설자재",2021. 11,수입액 (천달러),2546
"재료별 제조제품","철 및 강","철강선",2021. 11,수출액 (천달러),91528
"재료별 제조제품","철 및 강","철강선",2021. 11,수입액 (천달러),30174
"재료별 제조제품","철 및 강","철강의 튜브,파이프 및 중공프로파일과 튜브",2021. 11,수출액 (천달러),383776
"재료별 제조제품","철 및 강","철강의 튜브,파이프 및 중공프로파일과 튜브",2021. 11,수입액 (천달러),127322
"재료별 제조제품","비철금속","소계",2021. 11,수출액 (천달러),1547244
"재료별 제조제품","비철금속","소계",2021. 11,수입액 (천달러),1532629
"재료별 제조제품","비철금속","은,백금 및 기타 백금속의 금속",2021. 11,수출액 (천달러),226277
"재료별 제조제품","비철금속","은,백금 및 기타 백금속의 금속",2021. 11,수입액 (천달러),193341
"재료별 제조제품","비철금속","동",2021. 11,수출액 (천달러),689921
"재료별 제조제품","비철금속","동",2021. 11,수입액 (천달러),477164
"재료별 제조제품","비철금속","닉켈",2021. 11,수출액 (천달러),8849
"재료별 제조제품","비철금속","닉켈",2021. 11,수입액 (천달러),103894
"재료별 제조제품","비철금속","알루미늄",2021. 11,수출액 (천달러),342278
"재료별 제조제품","비철금속","알루미늄",2021. 11,수입액 (천달러),577030
"재료별 제조제품","비철금속","연",2021. 11,수출액 (천달러),125803
"재료별 제조제품","비철금속","연",2021. 11,수입액 (천달러),31760
"재료별 제조제품","비철금속","아연",2021. 11,수출액 (천달러),129797
"재료별 제조제품","비철금속","아연",2021. 11,수입액 (천달러),9359
"재료별 제조제품","비철금속","주석",2021. 11,수출액 (천달러),6278
"재료별 제조제품","비철금속","주석",2021. 11,수입액 (천달러),25915
"재료별 제조제품","비철금속","야금에 사용되는 각종 비철금속 및 서미트",2021. 11,수출액 (천달러),18042
"재료별 제조제품","비철금속","야금에 사용되는 각종 비철금속 및 서미트",2021. 11,수입액 (천달러),114166
"재료별 제조제품","달리 명시되지 않은 금속제품","소계",2021. 11,수출액 (천달러),921217
"재료별 제조제품","달리 명시되지 않은 금속제품","소계",2021. 11,수입액 (천달러),827441
"재료별 제조제품","달리 명시되지 않은 금속제품","달리 명시되지 않은 철강 및 알루미늄의 구조물 및 구조물",2021. 11,수출액 (천달러),119319
"재료별 제조제품","달리 명시되지 않은 금속제품","달리 명시되지 않은 철강 및 알루미늄의 구조물 및 구조물",2021. 11,수입액 (천달러),88361
"재료별 제조제품","달리 명시되지 않은 금속제품","저장 및 수송용 용기",2021. 11,수출액 (천달러),62962
"재료별 제조제품","달리 명시되지 않은 금속제품","저장 및 수송용 용기",2021. 11,수입액 (천달러),83320
"재료별 제조제품","달리 명시되지 않은 금속제품","선제품 및 울타리 그릴",2021. 11,수출액 (천달러),51415
"재료별 제조제품","달리 명시되지 않은 금속제품","선제품 및 울타리 그릴",2021. 11,수입액 (천달러),32412
"재료별 제조제품","달리 명시되지 않은 금속제품","철강,동 또는 알루미늄제의 못,나사,너트,볼트,리베트 및 유사제품",2021. 11,수출액 (천달러),86644
"재료별 제조제품","달리 명시되지 않은 금속제품","철강,동 또는 알루미늄제의 못,나사,너트,볼트,리베트 및 유사제품",2021. 11,수입액 (천달러),53663
"재료별 제조제품","달리 명시되지 않은 금속제품","수공구 및 기계용공구",2021. 11,수출액 (천달러),164014
"재료별 제조제품","달리 명시되지 않은 금속제품","수공구 및 기계용공구",2021. 11,수입액 (천달러),76931
"재료별 제조제품","달리 명시되지 않은 금속제품","날붙이",2021. 11,수출액 (천달러),9368
"재료별 제조제품","달리 명시되지 않은 금속제품","날붙이",2021. 11,수입액 (천달러),18458
"재료별 제조제품","달리 명시되지 않은 금속제품","달리 명시되지 않은 금속제의 가정용 장비",2021. 11,수출액 (천달러),36023
"재료별 제조제품","달리 명시되지 않은 금속제품","달리 명시되지 않은 금속제의 가정용 장비",2021. 11,수입액 (천달러),64693
"재료별 제조제품","달리 명시되지 않은 금속제품","달리 명시되지 않은 비금속제의 제품",2021. 11,수출액 (천달러),391471
"재료별 제조제품","달리 명시되지 않은 금속제품","달리 명시되지 않은 비금속제의 제품",2021. 11,수입액 (천달러),409603
"기계 및 운수장비","소계","소계",2021. 11,수출액 (천달러),33967632
"기계 및 운수장비","소계","소계",2021. 11,수입액 (천달러),18875674
"기계 및 운수장비","원동기기 및 설비","소계",2021. 11,수출액 (천달러),743145
"기계 및 운수장비","원동기기 및 설비","소계",2021. 11,수입액 (천달러),850182
"기계 및 운수장비","원동기기 및 설비","증기발생보일러 및 보일러실 장치",2021. 11,수출액 (천달러),16802
"기계 및 운수장비","원동기기 및 설비","증기발생보일러 및 보일러실 장치",2021. 11,수입액 (천달러),10494
"기계 및 운수장비","원동기기 및 설비","증기터어빈 및 달리 명시되지 않은 동부분품",2021. 11,수출액 (천달러),1892
"기계 및 운수장비","원동기기 및 설비","증기터어빈 및 달리 명시되지 않은 동부분품",2021. 11,수입액 (천달러),10074
"기계 및 운수장비","원동기기 및 설비","달리 명시되지 않은 내연 피스톤기관 및 동부분품",2021. 11,수출액 (천달러),399632
"기계 및 운수장비","원동기기 및 설비","달리 명시되지 않은 내연 피스톤기관 및 동부분품",2021. 11,수입액 (천달러),180361
"기계 및 운수장비","원동기기 및 설비","기관 및 모터,비전기식:달리 명시되지 않은 기관",2021. 11,수출액 (천달러),63504
"기계 및 운수장비","원동기기 및 설비","기관 및 모터,비전기식:달리 명시되지 않은 기관",2021. 11,수입액 (천달러),88527
"기계 및 운수장비","원동기기 및 설비","달리 명시되지 않은 회전전기장치 및 그 부분품",2021. 11,수출액 (천달러),154887
"기계 및 운수장비","원동기기 및 설비","달리 명시되지 않은 회전전기장치 및 그 부분품",2021. 11,수입액 (천달러),518077
"기계 및 운수장비","원동기기 및 설비","달리 명시되지 않은 기타 동력발생기계 및 부분품",2021. 11,수출액 (천달러),106428
"기계 및 운수장비","원동기기 및 설비","달리 명시되지 않은 기타 동력발생기계 및 부분품",2021. 11,수입액 (천달러),42650
"기계 및 운수장비","특수산업용 기계","소계",2021. 11,수출액 (천달러),2302838
"기계 및 운수장비","특수산업용 기계","소계",2021. 11,수입액 (천달러),2208469
"기계 및 운수장비","특수산업용 기계","농업용 기계 및 그 부분품",2021. 11,수출액 (천달러),10883
"기계 및 운수장비","특수산업용 기계","농업용 기계 및 그 부분품",2021. 11,수입액 (천달러),16944
"기계 및 운수장비","특수산업용 기계","트랙터",2021. 11,수출액 (천달러),101786
"기계 및 운수장비","특수산업용 기계","트랙터",2021. 11,수입액 (천달러),11218
"기계 및 운수장비","특수산업용 기계","토목공사용 장치",2021. 11,수출액 (천달러),546256
"기계 및 운수장비","특수산업용 기계","토목공사용 장치",2021. 11,수입액 (천달러),82516
"기계 및 운수장비","특수산업용 기계","섬유 및 가죽용 기계류 및 달리 명시되지 않은 동부분품",2021. 11,수출액 (천달러),211634
"기계 및 운수장비","특수산업용 기계","섬유 및 가죽용 기계류 및 달리 명시되지 않은 동부분품",2021. 11,수입액 (천달러),84700
"기계 및 운수장비","특수산업용 기계","종이제조 및 펄프제조기계",2021. 11,수출액 (천달러),13523
"기계 및 운수장비","특수산업용 기계","종이제조 및 펄프제조기계",2021. 11,수입액 (천달러),11353
"기계 및 운수장비","특수산업용 기계","인쇄 및 제본용기계 및 그들의 부분품",2021. 11,수출액 (천달러),10386
"기계 및 운수장비","특수산업용 기계","인쇄 및 제본용기계 및 그들의 부분품",2021. 11,수입액 (천달러),25846
"기계 및 운수장비","특수산업용 기계","식품가공기계(가정용 제외)",2021. 11,수출액 (천달러),5425
"기계 및 운수장비","특수산업용 기계","식품가공기계(가정용 제외)",2021. 11,수입액 (천달러),19549
"기계 및 운수장비","특수산업용 기계","특수산업용 기타 기계기구 및 달리 명시되지 않은 동부분품",2021. 11,수출액 (천달러),1402944
"기계 및 운수장비","특수산업용 기계","특수산업용 기타 기계기구 및 달리 명시되지 않은 동부분품",2021. 11,수입액 (천달러),1956344
"기계 및 운수장비","금속공작용 기계","소계",2021. 11,수출액 (천달러),280194
"기계 및 운수장비","금속공작용 기계","소계",2021. 11,수입액 (천달러),136279
"기계 및 운수장비","금속공작용 기계","금속 또는 기타재료의 절삭방식에 의한 가공공작기계",2021. 11,수출액 (천달러),145615
